"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2016","7.63","8.19","8.32","7.59","964.48K","-6.03%"
"03/01/2016","8.12","7.87","8.64","7.43","1.17M","3.44%"
"02/01/2016","7.85","8.13","8.13","6.63","1.10M","-3.21%"
"01/01/2016","8.11","8.14","8.41","6.77","1.18M","-3.11%"
"12/01/2015","8.37","8.55","8.95","7.54","1.58M","-1.53%"
"11/01/2015","8.50","8.84","10.39","8.46","1.66M","-4.92%"
"10/01/2015","8.94","8.28","9.85","8.09","1.18M","8.10%"
"09/01/2015","8.27","9.44","9.90","8.02","1.80M","-13.85%"
"08/01/2015","9.60","8.88","9.93","8.30","1.77M","7.38%"
"07/01/2015","8.94","11.49","12.78","8.50","4.04M","-20.74%"
"06/01/2015","11.28","12.07","12.58","10.80","1.82M","-6.47%"
"05/01/2015","12.06","13.31","14.18","12.02","2.57M","-8.22%"
"04/01/2015","13.14","9.66","14.29","9.34","7.39M","36.31%"
"03/01/2015","9.64","10.15","10.45","9.45","1.48M","-4.37%"
"02/01/2015","10.08","8.63","10.44","8.45","2.85M","17.48%"
"01/01/2015","8.58","12.66","12.69","8.50","3.15M","-32.01%"
"12/01/2014","12.62","13.16","13.96","12.40","1.86M","-3.88%"
"11/01/2014","13.13","13.09","13.45","12.15","1.25M","0.31%"
"10/01/2014","13.09","15.50","16.26","12.07","2.06M","-15.55%"
"09/01/2014","15.50","17.18","17.39","15.50","1.12M","-9.09%"
"08/01/2014","17.05","17.21","17.50","16.53","806.95K","-1.10%"
"07/01/2014","17.24","19.39","19.72","16.78","1.96M","-10.90%"
"06/01/2014","19.35","19.30","19.66","18.14","1.40M","0.52%"
"05/01/2014","19.25","17.91","19.66","17.23","1.77M","7.30%"
"04/01/2014","17.94","22.87","23.55","17.03","3.65M","-21.66%"
"03/01/2014","22.90","23.36","24.27","21.85","1.29M","-3.05%"
"02/01/2014","23.62","22.17","24.04","21.35","1.59M","6.01%"
"01/01/2014","22.28","21.30","26.98","19.16","3.99M","4.50%"
"12/01/2013","21.32","21.38","21.95","20.33","1.87M","-0.74%"
"11/01/2013","21.48","21.59","21.70","20.04","1.26M","-0.23%"
"10/01/2013","21.53","26.60","27.50","20.20","2.23M","-18.82%"
"09/01/2013","26.52","27.47","28.43","26.29","782.76K","-1.81%"
"08/01/2013","27.01","28.68","31.05","27.00","1.34M","-5.79%"
