"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2012","7.925","7.620","8.450","7.270","393.05M","5.67%"
"09/01/2012","7.500","6.660","8.200","6.220","594.66M","12.11%"
"08/01/2012","6.690","7.210","8.490","6.610","389.97M","-6.43%"
"07/01/2012","7.150","7.530","8.320","6.560","459.92M","-3.25%"
"06/01/2012","7.390","10.170","11.090","7.340","437.32M","-28.46%"
"05/01/2012","10.330","14.380","14.420","10.010","405.16M","-27.76%"
"04/01/2012","14.300","14.670","14.990","12.550","412.90M","-2.72%"
"03/01/2012","14.700","13.780","14.920","12.830","469.97M","3.81%"
"02/01/2012","14.160","16.910","17.340","14.160","306.43M","-14.85%"
"01/01/2012","16.630","14.840","17.960","14.570","529.87M","14.69%"
"12/01/2011","14.500","17.890","18.770","12.450","582.04M","-18.81%"
"11/01/2011","17.860","19.510","19.950","15.980","421.22M","-11.58%"
"10/01/2011","20.200","20.220","24.740","19.290","434.20M","-0.49%"
"09/01/2011","20.300","32.290","33.540","20.280","577.01M","-37.52%"
"08/01/2011","32.490","25.250","33.050","21.600","607.80M","29.96%"
"07/01/2011","25.000","28.720","29.760","24.810","342.97M","-13.34%"
"06/01/2011","28.850","42.360","42.500","25.820","663.12M","-32.67%"
"05/01/2011","42.850","48.880","48.950","42.550","274.44M","-11.92%"
"04/01/2011","48.650","56.850","57.320","48.200","263.10M","-13.95%"
"03/01/2011","56.540","66.350","68.810","55.770","285.86M","-14.59%"
"02/01/2011","66.200","59.540","70.540","58.810","196.15M","11.99%"
"01/01/2011","59.110","58.690","66.480","58.300","231.52M","1.69%"
"12/01/2010","58.130","63.390","63.940","57.480","237.82M","-5.98%"
"11/01/2010","61.830","57.610","62.900","54.610","307.03M","8.63%"
"10/01/2010","56.920","48.720","57.950","46.780","333.43M","16.90%"
"09/01/2010","48.690","43.630","49.670","43.010","434.47M","13.66%"
"08/01/2010","42.840","56.990","58.640","42.530","418.86M","-25.53%"
"07/01/2010","57.530","49.030","58.000","47.420","292.39M","16.79%"
"06/01/2010","49.260","60.100","62.910","49.130","316.81M","-18.83%"
"05/01/2010","60.690","71.140","72.190","57.510","229.66M","-14.75%"
"04/01/2010","71.190","70.000","74.940","67.120","338.22M","-3.76%"
"03/01/2010","73.970","71.700","76.950","69.400","302.17M","4.36%"
"02/01/2010","70.880","63.900","72.000","63.160","260.18M","12.67%"
"01/01/2010","62.910","68.160","68.230","60.400","285.76M","-6.86%"
"12/01/2009","67.540","58.750","71.600","57.890","397.78M","16.67%"
"11/01/2009","57.890","56.850","65.160","54.300","361.09M","-1.43%"
"10/01/2009","58.730","67.970","70.570","58.420","369.29M","-13.16%"
"09/01/2009","67.630","74.160","88.080","66.280","428.20M","-7.43%"
"08/01/2009","73.060","76.930","80.590","70.380","242.94M","-3.86%"
"07/01/2009","75.990","71.440","78.200","63.360","305.12M","6.89%"
"06/01/2009","71.090","80.390","86.000","67.530","436.60M","-9.60%"
"05/01/2009","78.640","70.350","80.970","68.610","353.29M","13.15%"
"04/01/2009","69.500","43.000","70.480","42.760","525.12M","61.22%"
"03/01/2009","43.110","39.270","46.490","35.050","416.61M","7.94%"
"02/01/2009","39.940","54.620","60.470","37.190","492.13M","-27.91%"
"01/01/2009","55.400","40.710","56.790","40.000","451.74M","36.52%"
"12/01/2008","40.580","42.020","44.330","35.090","495.29M","-4.45%"
"11/01/2008","42.470","50.790","57.880","38.550","543.11M","-15.78%"
"10/01/2008","50.430","67.500","68.230","40.210","836.09M","-26.16%"
"09/01/2008","68.300","124.370","124.850","60.030","672.27M","-43.83%"
"08/01/2008","121.600","123.540","135.000","115.880","313.16M","-0.99%"
"07/01/2008","122.820","114.830","124.950","101.860","429.26M","5.06%"
"06/01/2008","116.900","138.300","148.130","116.570","406.23M","-15.82%"
"05/01/2008","138.870","123.140","144.500","122.700","370.99M","14.17%"
"04/01/2008","121.630","115.170","127.580","111.900","459.73M","8.38%"
"03/01/2008","112.230","103.280","118.350","93.360","441.81M","8.12%"
"02/01/2008","103.800","94.050","112.260","81.960","442.18M","10.57%"
"01/01/2008","93.880","114.450","116.050","80.200","618.10M","-17.21%"
"12/01/2007","113.400","109.420","122.160","97.400","544.60M","-0.37%"
"11/01/2007","113.820","122.640","137.010","96.800","726.17M","-8.59%"
"10/01/2007","124.510","98.020","128.360","95.020","596.91M","26.34%"
"09/01/2007","98.550","84.520","100.980","80.140","271.36M","15.38%"
"08/01/2007","85.410","71.290","85.870","61.540","516.12M","19.74%"
"07/01/2007","71.330","67.320","78.660","66.360","544.42M","7.01%"
"06/01/2007","66.660","55.610","66.860","53.100","446.80M","20.41%"
"05/01/2007","55.360","44.420","56.240","43.780","451.75M","26.22%"
"04/01/2007","43.860","45.920","49.650","42.930","361.64M","-3.60%"
"03/01/2007","45.500","45.890","47.420","43.500","414.48M","-2.92%"
"02/01/2007","46.870","42.830","49.020","42.090","444.23M","10.05%"
"01/01/2007","42.590","43.080","48.410","39.920","646.82M","0.00%"
"12/01/2006","42.590","46.450","46.700","41.200","541.45M","-7.97%"
"11/01/2006","46.280","39.580","47.550","38.290","478.19M","18.18%"
"10/01/2006","39.160","34.030","39.750","32.920","528.27M","14.44%"
"09/01/2006","34.220","27.630","34.830","25.840","442.54M","24.44%"
"08/01/2006","27.500","21.800","28.160","21.000","289.47M","25.69%"
"07/01/2006","21.880","23.210","23.830","20.710","178.08M","-5.93%"
"06/01/2006","23.260","21.650","23.390","20.340","257.61M","7.54%"
"05/01/2006","21.630","25.600","26.260","20.980","303.19M","-15.31%"
"04/01/2006","25.540","28.550","29.370","24.860","276.86M","-9.72%"
"03/01/2006","28.290","23.650","30.180","23.310","451.89M","20.33%"
"02/01/2006","23.510","22.340","26.130","22.340","364.00M","4.44%"
"01/01/2006","22.510","22.200","24.700","20.950","243.83M","2.32%"
"12/01/2005","22.000","20.220","23.140","19.720","412.84M","7.95%"
"11/01/2005","20.380","20.430","23.150","19.930","410.41M","-0.59%"
"10/01/2005","20.500","22.970","23.090","17.000","534.40M","-9.97%"
"09/01/2005","22.770","26.150","27.500","22.620","430.19M","-12.76%"
"08/01/2005","26.100","23.720","26.330","22.370","387.32M","10.83%"
"07/01/2005","23.550","24.760","24.930","22.420","324.24M","-4.27%"
"06/01/2005","24.600","27.720","28.180","23.620","622.97M","-10.90%"
"05/01/2005","27.610","21.600","27.750","21.270","603.44M","28.60%"
"04/01/2005","21.470","25.830","25.920","20.620","632.23M","-15.70%"
"03/01/2005","25.470","22.130","27.830","20.090","868.21M","15.56%"
"02/01/2005","22.040","23.770","26.450","21.570","426.45M","-7.24%"
"01/01/2005","23.760","27.770","27.880","21.340","502.21M","-13.51%"
